date,description,reference,account_code,debit_amount,credit_amount,entry_description
2024-01-01,Opening Balance,REF001,1100,50000.00,0.00,Starting cash balance
2024-01-01,Opening Balance,REF001,3100,0.00,50000.00,Initial capital investment
2024-01-02,Office Supplies Purchase,REF002,5400,500.00,0.00,Purchase of office supplies
2024-01-02,Office Supplies Purchase,REF002,1100,0.00,500.00,Cash payment for supplies
2024-01-03,Service Revenue,REF003,1100,2000.00,0.00,Cash received from customer
2024-01-03,Service Revenue,REF003,4200,0.00,2000.00,Service revenue earned
2024-01-04,Rent Payment,REF004,5200,1500.00,0.00,Monthly office rent
2024-01-04,Rent Payment,REF004,1100,0.00,1500.00,Cash payment for rent
2024-01-05,Equipment Purchase,REF005,1510,5000.00,0.00,Purchase of office equipment
2024-01-05,Equipment Purchase,REF005,1100,0.00,5000.00,Cash payment for equipment
2024-01-06,Inventory Purchase,REF006,1300,3000.00,0.00,Purchase of inventory
2024-01-06,Inventory Purchase,REF006,2100,0.00,3000.00,Accounts payable for inventory
2024-01-07,Sale on Account,REF007,1200,1500.00,0.00,Accounts receivable from sale
2024-01-07,Sale on Account,REF007,4100,0.00,1500.00,Sales revenue
2024-01-08,Utility Bill Payment,REF008,5300,300.00,0.00,Monthly utility expense
2024-01-08,Utility Bill Payment,REF008,1100,0.00,300.00,Cash payment for utilities
2024-02-05,Marketing Expense,TXN010,"5800,Marketing Expense,3000.00,DEBIT;1100,Cash,3000.00,CREDIT"
